CÓDIGO OACI,CIAD,NOME,MUNICÍPIO ATENDIDO,UF,LATITUDE,LONGITUDE,ALTITUDE,OPERAÇÃO,DESIGNAÇÃO,COMPRIMENTO,LARGURA,RESISTÊNCIA,SUPERFÍCIE
SBTE,PI0001,SENADOR PETRÔNIO PORTELLA,TERESINA,PI,5° 3' 38'' S,42° 49' 28'' W,67 m,VFR Diurno/Noturno e IFR Diurno/Noturno,02/20,2200 m,45 m,PCN 46/F/A/X/T,Asfalto
SBTF,AM0004,TEFÉ,TEFÉ,AM,3° 22' 49'' S,64° 43' 31'' W,57 m,VFR Diurno/Noturno e IFR Diurno/Noturno,15/33,2200 m,45 m,PCN 29/F/C/X/U,Asfalto
SBTG,MS0006,TRÊS LAGOAS,TRÊS LAGOAS,MS,20° 45' 5'' S,51° 40' 49'' W,323 m,VFR Diurno/Noturno,07/25,2000 m,30 m,PCN 33/F/B/X/T,Asfalto
SBTK,AC0004,TARAUACÁ,TARAUACÁ,AC,8° 9' 17'' S,70° 46' 58'' W,197 m,VFR Diurno,14/32,1130 m,14 m,"5700 kg / 0,5 MPa",Asfalto
SSTE,RS0011,TORRES,TORRES,RS,29° 24' 36'' S,49° 48' 37'' W,8 m,VFR Diurno/Noturno e IFR Diurno/Noturno,05/23,1500 m,30 m,PCN 32/F/B/X/T,Asfalto
SBTT,AM0005,TABATINGA,TABATINGA,AM,4° 15' 2'' S,69° 56' 16'' W,85 m,VFR Diurno/Noturno e IFR Diurno/Noturno,12/30,2150 m,45 m,PCN 33/F/D/X/U,Asfalto
SBTU,PA0007,TUCURUÍ,TUCURUÍ,PA,3° 46' 37'' S,49° 43' 11'' W,253 m,VFR Diurno/Noturno e IFR Diurno/Noturno,02/20,2000 m,45 m,PCN 33/F/C/X/U,Asfalto
SBUA,AM0003,SÃO GABRIEL DA CACHOEIRA,SÃO GABRIEL DA CACHOEIRA,AM,0° 8' 53'' S,66° 59' 9'' W,76 m,VFR Diurno e IFR Diurno,05/23,2600 m,45 m,PCN 47/F/C/X/U,Asfalto
SBUF,BA0007,PAULO AFONSO,PAULO AFONSO,BA,9° 24' 4'' S,38° 15' 4'' W,269 m,VFR Diurno/Noturno,14/32,1800 m,45 m,PCN 35/F/C/X/U,Asfalto
SBUG,RS0012,RUBEM BERTA,URUGUAIANA,RS,29° 47' 0'' S,57° 2' 13'' W,78 m,VFR Diurno/Noturno e IFR Diurno/Noturno,09/27,1500 m,30 m,PCN 18/F/C/Y/T,Asfalto
SBUL,MG0002,TEN CEL AVIADOR CÉSAR BOMBONATO,UBERLÂNDIA,MG,18° 53' 1'' S,48° 13' 31'' W,943 m,VFR Diurno/Noturno e IFR Diurno/Noturno,04/22,2100 m,45 m,PCN 43/F/A/X/T,Asfalto
SBUR,MG0009,MARIO DE ALMEIDA FRANCO,UBERABA,MG,19° 45' 53'' S,47° 57' 58'' W,809 m,VFR Diurno/Noturno e IFR Diurno/Noturno,17/35,1759 m,45 m,PCN 32/F/A/X/T,Asfalto
SBVG,MG0019,MAJOR BRIGADEIRO TROMPOWSKY,VARGINHA,MG,21° 35' 20'' S,45° 28' 24'' W,922 m,VFR Diurno e IFR Diurno/Noturno,04/22,2100 m,30 m,PCN 26/F/A/Y/T,Asfalto
SBVH,RO0003,VILHENA,VILHENA,RO,12° 41' 39'' S,60° 5' 50'' W,615 m,VFR Diurno/Noturno e IFR Diurno/Noturno,03/21,2600 m,30 m,PCN 30/F/A/X/T,Asfalto
SBVT,ES0001,EURICO DE AGUIAR SALLES,VITÓRIA,ES,20° 15' 29'' S,40° 17' 11'' W,3 m,VFR Diurno/Noturno e IFR Diurno/Noturno,06/24,1750 m,45 m,PCN 45/F/B/X/T,Asfalto
SBZM,MG0006,PRESIDENTE ITAMAR FRANCO,GOIANÁ,MG,21° 30' 47'' S,43° 10' 23'' W,412 m,VFR Diurno e IFR Diurno/Noturno,08/26,2525 m,45 m,PCN 66/F/B/X/T,Asfalto
SDAA,SP0045,ARARAS,ARARAS,SP,22° 20' 13'' S,47° 21' 30'' W,685 m,VFR Diurno,12/30,1150 m,30 m,PCN 6/F/C/Y/U,Asfalto
SDAD,SP0046,EVERALDO MORAES BARRETO,ADAMANTINA,SP,21° 41' 46'' S,51° 5' 47'' W,425 m,VFR Diurno,09/27,1240 m,18 m,"5000 kg / 0,5 MPa",Asfalto
SDAE,SP0053,SÃO PEDRO,SÃO PEDRO,SP,22° 35' 1'' S,47° 53' 46'' W,566 m,VFR Diurno,14/32,1000 m,25 m,"5600 kg / 0,5 MPa",Terra
