CÓDIGO OACI,CIAD,NOME,MUNICÍPIO ATENDIDO,UF,LATITUDE,LONGITUDE,ALTITUDE,OPERAÇÃO,DESIGNAÇÃO,COMPRIMENTO,LARGURA,RESISTÊNCIA,SUPERFÍCIE
SBFN,PE0003,FERNANDO DE NORONHA,FERNANDO DE NORONHA,PE,3° 51' 17'' S,32° 25' 42'' W,58 m,VFR Diurno/Noturno e IFR Diurno/Noturno,12/30,1845 m,45 m,PCN 30/F/C/X/U,Asfalto
SBFZ,CE0001,PINTO MARTINS,FORTALEZA,CE,3° 46' 33'' S,38° 31' 56'' W,25 m,VFR Diurno/Noturno e IFR Diurno/Noturno,13/31,2545 m,45 m,PCN 66/F/A/X/T,Asfalto
SBGL,RJ0001,AEROPORTO INTERNACIONAL DO RIO DE JANEIRO/GALEÃO – ANTONIO CARLOS JOBIM,RIO DE JANEIRO,RJ,22° 48' 36'' S,43° 15' 2'' W,9 m,VFR Diurno/Noturno e IFR Diurno/Noturno,10/28,4000 m,45 m,PCN 78/R/A/W/T,Concreto
SBGM,RO0006,GUAJARÁ-MIRIM,GUAJARÁ-MIRIM,RO,10° 47' 18'' S,65° 16' 54'' W,146 m,VFR Diurno/Noturno,17/35,1795 m,45 m,PCN 30/F/C/X/U,Asfalto
SBGO,GO0001,SANTA GENOVEVA/GOIÂNIA,GOIÂNIA,GO,16° 37' 57'' S,49° 13' 16'' W,747 m,VFR Diurno/Noturno e IFR Diurno/Noturno,14/32,2286 m,45 m,PCN 67/F/B/X/T,Asfalto
SBGR,SP0002,GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO,GUARULHOS,SP,23° 26' 8'' S,46° 28' 23'' W,750 m,VFR Diurno/Noturno e IFR Diurno/Noturno,9L/27R,3700 m,45 m,PCN 77/F/B/W/T,Asfalto
SSGG,PR0009,TANCREDO THOMAS DE FARIA,GUARAPUAVA,PR,25° 23' 18'' S,51° 31' 25'' W,1065 m,VFR Diurno/Noturno e IFR Diurno/Noturno,08/26,1365 m,30 m,PCN 23/F/C/X/T,Asfalto
SBGV,MG0032,CORONEL ALTINO MACHADO,GOVERNADOR VALADARES,MG,18° 53' 49'' S,41° 59' 10'' W,171 m,VFR Diurno/Noturno e IFR Diurno/Noturno,07/25,1701 m,30 m,PCN 31/F/B/X/T,Asfalto
SBGW,SP0076,GUARATINGUETÁ,GUARATINGUETÁ,SP,22° 47' 30'' S,45° 12' 16'' W,537 m,VFR Diurno/Noturno e IFR Diurno/Noturno,02/20,1551 m,30 m,PCN 15/F/C/Y/U,Asfalto
SBHT,PA0003,ALTAMIRA,ALTAMIRA,PA,3° 15' 3'' S,52° 15' 8'' W,112 m,VFR Diurno/Noturno e IFR Diurno/Noturno,07/25,2003 m,30 m,PCN 36/F/A/X/T,Asfalto
SBIC,AM0012,ITACOATIARA,ITACOATIARA,AM,3° 7' 35'' S,58° 28' 54'' W,43 m,VFR Diurno e IFR Diurno,14/32,1515 m,30 m,PCN 8/F/C/Y/U,Asfalto
